shirt,pants,shoes,style,shirt_subtype,pants_subtype,shoes_subtype,fit,temperature,occasion,outerwear,score
charcoal,olive,charcoal,streetwear,flannel,joggers,boots,relaxed,hot,travel,trench,0.275
red,grey,white,athleisure,graphic_tee,sweatpants,slides,cropped,cold,business,puffer,0.0
yellow,cream,charcoal,streetwear,cardigan,cargos,slides,skinny,warm,party,leather_jacket,0.5
olive,olive,gold,gorpcore,polo,trousers,loafers,cropped,hot,club,varsity_jacket,0.04999999999999999
gold,olive,green,casual,turtleneck,joggers,chelsea_boots,oversized,cold,lounge,windbreaker,0.5
olive,white,olive,casual,sweatshirt,carpenter_pants,boots,regular,cold,business,suit_jacket,0.55
beige,blue,gold,athleisure,polo,chinos,running_shoes,regular,hot,party,overcoat,0.25
black,green,red,athleisure,overshirt,cargos,slides,slim,cold,gym,leather_jacket,0.5
beige,olive,burgundy,vintage,henley,cargos,slides,relaxed,mild,club,overcoat,0.5
burgundy,red,gold,casual,cardigan,pleated_trousers,derbies,regular,hot,date,trench,0.25
green,gold,olive,old_money,sweater,swim_shorts,slides,oversized,hot,business,puffer,0.0
cream,navy,olive,streetwear,hoodie,shorts,slides,skinny,freezing,gym,trench,0.0
charcoal,beige,grey,streetwear,sweater,jeans,sandals,regular,warm,travel,parka,0.5
red,yellow,black,casual,sweatshirt,trousers,running_shoes,oversized,mild,travel,varsity_jacket,0.5
brown,grey,red,streetwear,turtleneck,swim_shorts,chunky_sneakers,skinny,mild,travel,windbreaker,0.5
brown,white,silver,minimal,tee,jeans,boots,oversized,hot,travel,trench,0.25
black,blue,gold,old_money,long_sleeve,chinos,running_shoes,slim,cold,business,suit_jacket,0.0
yellow,green,beige,casual,cardigan,sweatpants,slides,relaxed,warm,gym,blazer,0.25
red,burgundy,charcoal,smart_casual,tee,jeans,boots,oversized,mild,party,trench,0.5
green,olive,navy,smart_casual,sweater,swim_shorts,derbies,cropped,warm,club,blazer,0.5
silver,red,charcoal,casual,sweatshirt,shorts,chunky_sneakers,skinny,freezing,party,peacoat,0.0
brown,navy,green,formal,sweater,sweatpants,chelsea_boots,oversized,cold,business,bomber,0.0
grey,navy,yellow,streetwear,long_sleeve,sweatpants,boots,cropped,warm,date,bomber,0.5
navy,olive,charcoal,old_money,graphic_tee,chinos,slides,cropped,hot,lounge,gilet,0.25
blue,white,yellow,formal,cardigan,cargos,boots,skinny,mild,travel,bomber,0.0
gold,brown,red,formal,long_sleeve,trousers,running_shoes,slim,mild,gym,trench,0.0
brown,blue,brown,gorpcore,oxford,shorts,slides,skinny,cold,party,blazer,0.55
silver,yellow,charcoal,casual,graphic_tee,track_pants,chunky_sneakers,relaxed,warm,date,bomber,0.5
gold,cream,red,smart_casual,sweatshirt,sweatpants,sneakers,relaxed,warm,business,puffer,0.0
yellow,green,charcoal,old_money,cardigan,cargos,sandals,relaxed,warm,university,suit_jacket,0.15
beige,gold,blue,streetwear,hoodie,joggers,chelsea_boots,skinny,mild,gym,parka,0.0
brown,green,brown,smart_casual,hoodie,track_pants,sandals,relaxed,cold,travel,leather_jacket,0.55
olive,charcoal,gold,old_money,graphic_tee,trousers,sandals,oversized,hot,business,leather_jacket,0.0
black,burgundy,cream,minimal,henley,chinos,boots,slim,freezing,party,puffer,0.65
silver,grey,olive,smart_casual,cardigan,pleated_trousers,sandals,slim,mild,business,suit_jacket,0.0
silver,brown,beige,casual,oxford,swim_shorts,boots,regular,freezing,lounge,varsity_jacket,0.0
gold,navy,grey,smart_casual,turtleneck,cargos,slides,oversized,mild,party,bomber,0.5
yellow,black,gold,casual,polo,track_pants,sandals,skinny,freezing,travel,windbreaker,0.5
grey,burgundy,olive,gorpcore,hoodie,swim_shorts,sneakers,regular,cold,party,gilet,0.5
olive,burgundy,white,athleisure,graphic_tee,sweatpants,running_shoes,cropped,hot,university,leather_jacket,0.1
yellow,brown,cream,smart_casual,cardigan,cargos,sneakers,cropped,mild,date,trench,0.5
olive,charcoal,brown,athleisure,oxford,joggers,loafers,relaxed,hot,business,blazer,0.0
beige,yellow,navy,gorpcore,long_sleeve,carpenter_pants,boots,oversized,mild,business,bomber,0.6
cream,charcoal,cream,smart_casual,graphic_tee,track_pants,loafers,skinny,freezing,travel,none,0.22000000000000003
yellow,black,olive,minimal,overshirt,pleated_trousers,boots,relaxed,warm,travel,none,0.5
red,black,navy,minimal,sweatshirt,jeans,loafers,oversized,cold,club,varsity_jacket,0.5
brown,brown,yellow,vintage,turtleneck,chinos,boots,cropped,cold,club,gilet,0.5
charcoal,beige,white,minimal,tee,track_pants,derbies,oversized,hot,lounge,bomber,0.25
green,grey,charcoal,formal,tee,cargos,sneakers,oversized,cold,travel,peacoat,0.0
green,brown,burgundy,athleisure,tee,joggers,derbies,cropped,hot,date,denim_jacket,0.25
charcoal,navy,black,athleisure,sweatshirt,jeans,boots,skinny,cold,travel,varsity_jacket,0.24999999999999997
green,brown,brown,athleisure,dress_shirt,jeans,sandals,oversized,mild,business,varsity_jacket,0.0
brown,olive,navy,minimal,hoodie,carpenter_pants,boots,slim,hot,gym,none,0.0
gold,olive,red,athleisure,dress_shirt,swim_shorts,chunky_sneakers,relaxed,warm,business,none,0.0
cream,grey,black,vintage,sweatshirt,trousers,loafers,cropped,freezing,party,varsity_jacket,0.5
grey,beige,cream,gorpcore,graphic_tee,track_pants,derbies,skinny,freezing,party,peacoat,0.5
silver,yellow,blue,athleisure,long_sleeve,cargos,derbies,slim,mild,business,suit_jacket,0.0
yellow,blue,grey,casual,dress_shirt,trousers,sandals,skinny,warm,gym,parka,0.1
navy,cream,cream,streetwear,sweater,swim_shorts,running_shoes,relaxed,hot,university,peacoat,0.25
brown,charcoal,white,vintage,dress_shirt,track_pants,chelsea_boots,regular,warm,university,windbreaker,0.5
yellow,charcoal,yellow,casual,flannel,pleated_trousers,slides,cropped,cold,lounge,suit_jacket,0.55
green,navy,charcoal,streetwear,turtleneck,swim_shorts,derbies,relaxed,mild,date,leather_jacket,0.5
black,black,grey,formal,oxford,sweatpants,sneakers,oversized,cold,party,blazer,0.0
navy,burgundy,grey,formal,oxford,chinos,boots,oversized,hot,university,none,0.5
white,grey,gold,old_money,sweatshirt,joggers,running_shoes,slim,mild,club,windbreaker,0.5
white,black,green,old_money,flannel,chinos,slides,regular,mild,business,trench,0.0
beige,cream,blue,casual,turtleneck,trousers,boots,skinny,hot,gym,leather_jacket,0.0
white,brown,burgundy,athleisure,graphic_tee,chinos,sneakers,regular,mild,gym,bomber,0.1
brown,red,green,formal,overshirt,carpenter_pants,running_shoes,slim,hot,lounge,varsity_jacket,0.0
red,beige,burgundy,smart_casual,sweater,chinos,slides,cropped,cold,gym,bomber,0.1
black,brown,brown,streetwear,graphic_tee,chinos,sandals,regular,mild,date,none,0.5
beige,charcoal,brown,smart_casual,oxford,shorts,sneakers,regular,cold,gym,leather_jacket,0.25
burgundy,black,navy,casual,flannel,chinos,loafers,oversized,freezing,travel,bomber,0.5
silver,cream,cream,smart_casual,graphic_tee,track_pants,boots,relaxed,hot,gym,denim_jacket,0.0
yellow,cream,olive,minimal,dress_shirt,joggers,chunky_sneakers,slim,warm,club,trench,0.5
red,black,black,casual,sweatshirt,trousers,chunky_sneakers,regular,warm,university,leather_jacket,0.5
burgundy,olive,cream,casual,dress_shirt,swim_shorts,running_shoes,cropped,hot,gym,bomber,0.0
yellow,gold,olive,athleisure,hoodie,carpenter_pants,running_shoes,regular,warm,party,gilet,0.5
cream,cream,red,vintage,cardigan,jeans,slides,skinny,cold,date,gilet,0.5
grey,navy,navy,gorpcore,sweatshirt,joggers,chelsea_boots,regular,freezing,date,parka,0.65
grey,grey,beige,athleisure,sweater,pleated_trousers,sneakers,slim,mild,university,suit_jacket,0.5
red,beige,gold,gorpcore,oxford,chinos,chelsea_boots,slim,mild,lounge,varsity_jacket,0.5
gold,grey,red,minimal,graphic_tee,shorts,sneakers,slim,hot,university,none,0.5
brown,green,green,gorpcore,polo,cargos,running_shoes,cropped,freezing,date,blazer,0.6
grey,navy,yellow,old_money,tee,pleated_trousers,sneakers,oversized,cold,gym,varsity_jacket,0.25
black,yellow,black,casual,polo,sweatpants,boots,oversized,cold,date,varsity_jacket,0.55
green,cream,silver,athleisure,overshirt,chinos,derbies,relaxed,hot,club,trench,0.25
red,silver,burgundy,smart_casual,cardigan,swim_shorts,chunky_sneakers,cropped,mild,lounge,parka,0.5
grey,navy,navy,old_money,graphic_tee,carpenter_pants,sneakers,skinny,hot,travel,parka,0.0
cream,olive,grey,old_money,overshirt,shorts,boots,relaxed,mild,date,parka,0.5
olive,charcoal,black,minimal,hoodie,shorts,running_shoes,cropped,cold,date,suit_jacket,0.5
silver,grey,silver,streetwear,polo,joggers,chelsea_boots,relaxed,cold,travel,bomber,0.55
silver,beige,brown,athleisure,sweater,joggers,sneakers,cropped,cold,date,denim_jacket,0.5
green,yellow,gold,athleisure,graphic_tee,shorts,derbies,regular,freezing,lounge,bomber,0.0
white,yellow,white,gorpcore,flannel,track_pants,boots,regular,freezing,party,windbreaker,0.66
silver,olive,black,old_money,cardigan,joggers,slides,relaxed,mild,university,leather_jacket,0.5
olive,yellow,white,formal,tee,shorts,slides,cropped,cold,date,trench,0.0
charcoal,burgundy,brown,minimal,tee,chinos,boots,skinny,cold,travel,peacoat,0.5
white,silver,white,athleisure,polo,jeans,boots,relaxed,freezing,university,none,0.05500000000000002
charcoal,yellow,red,athleisure,hoodie,pleated_trousers,chelsea_boots,slim,hot,party,peacoat,0.25
white,yellow,black,old_money,polo,pleated_trousers,sneakers,regular,hot,gym,puffer,0.0
silver,red,olive,vintage,henley,cargos,sandals,cropped,freezing,date,varsity_jacket,0.5
white,white,brown,casual,sweatshirt,cargos,boots,skinny,hot,gym,puffer,0.0
white,beige,yellow,old_money,sweatshirt,sweatpants,chunky_sneakers,regular,warm,date,peacoat,0.25
gold,burgundy,grey,minimal,polo,carpenter_pants,chelsea_boots,slim,hot,club,puffer,0.25
gold,gold,charcoal,minimal,henley,trousers,boots,relaxed,mild,university,denim_jacket,0.5
charcoal,silver,olive,minimal,sweater,sweatpants,sandals,cropped,freezing,party,windbreaker,0.5
charcoal,beige,red,smart_casual,henley,jeans,running_shoes,oversized,cold,date,none,0.5
beige,olive,burgundy,streetwear,flannel,swim_shorts,chunky_sneakers,oversized,hot,club,trench,0.25
olive,cream,yellow,smart_casual,turtleneck,cargos,sneakers,slim,freezing,lounge,parka,0.65
white,brown,yellow,gorpcore,sweater,cargos,sneakers,skinny,cold,party,none,0.6
gold,blue,green,old_money,cardigan,swim_shorts,loafers,slim,mild,gym,puffer,0.0
