shirt,pants,shoes,style,shirt_subtype,pants_subtype,shoes_subtype,fit,temperature,occasion,outerwear,score
black,navy,navy,formal,dress_shirt,trousers,sandals,relaxed,mild,university,long_coat,1
navy,brown,brown,streetwear,oxford,shorts,sneakers,oversized,hot,university,none,0
black,black,white,formal,polo,trousers,sandals,relaxed,cold,date,none,-3
white,beige,beige,streetwear,tee,shorts,sneakers,relaxed,hot,date,coat,-2
beige,beige,grey,formal,oxford,trousers,boots,oversized,cold,university,long_coat,1
grey,beige,beige,streetwear,tee,jeans,boots,slim,hot,party,coat,-2
beige,grey,grey,casual,oxford,trousers,boots,regular,cold,university,none,-2
brown,black,black,formal,oxford,shorts,sandals,relaxed,mild,date,jacket,0
grey,beige,beige,formal,oxford,chinos,boots,relaxed,cold,university,jacket,0
black,black,navy,formal,tee,trousers,sneakers,relaxed,hot,business,jacket,0
beige,brown,brown,casual,dress_shirt,chinos,sneakers,regular,mild,party,coat,0
beige,navy,grey,casual,oxford,trousers,sandals,regular,mild,university,coat,0
navy,navy,brown,casual,oxford,chinos,sneakers,regular,cold,date,jacket,1
beige,brown,brown,streetwear,tee,trousers,sneakers,regular,cold,university,coat,0
navy,navy,brown,old_money,dress_shirt,trousers,sandals,slim,hot,date,none,3
brown,black,white,casual,tee,jeans,boots,regular,mild,business,none,-1
brown,brown,beige,casual,oxford,chinos,loafers,regular,mild,date,long_coat,1
black,navy,navy,streetwear,oxford,shorts,loafers,slim,mild,university,jacket,0
navy,brown,white,casual,henley,chinos,loafers,oversized,cold,party,none,-2
navy,brown,black,streetwear,polo,shorts,boots,relaxed,mild,date,long_coat,0
brown,beige,navy,minimal,tee,shorts,boots,oversized,mild,date,coat,0
navy,grey,grey,casual,polo,jeans,sandals,slim,mild,date,jacket,0
black,white,navy,minimal,dress_shirt,trousers,sandals,relaxed,cold,business,none,-4
white,navy,navy,minimal,tee,shorts,sandals,relaxed,hot,date,long_coat,-2
brown,navy,brown,old_money,dress_shirt,chinos,boots,relaxed,cold,business,long_coat,2
brown,white,beige,formal,dress_shirt,shorts,boots,regular,hot,business,jacket,-2
navy,navy,navy,old_money,tee,trousers,sneakers,relaxed,cold,party,none,1
grey,grey,white,streetwear,henley,trousers,sneakers,slim,hot,party,long_coat,-1
grey,grey,grey,streetwear,polo,chinos,boots,oversized,cold,date,coat,1
brown,beige,navy,minimal,polo,jeans,loafers,regular,mild,university,none,0
brown,beige,beige,old_money,henley,shorts,boots,regular,cold,business,none,0
navy,white,beige,formal,polo,shorts,sneakers,slim,cold,university,jacket,0
beige,white,beige,casual,dress_shirt,shorts,sandals,oversized,cold,business,coat,-2
white,grey,grey,formal,dress_shirt,trousers,boots,oversized,hot,date,coat,-2
brown,black,grey,formal,tee,trousers,sneakers,slim,mild,university,coat,0
black,grey,brown,old_money,dress_shirt,chinos,sandals,regular,cold,business,none,-2
black,beige,grey,streetwear,oxford,trousers,sneakers,regular,mild,business,jacket,0
white,brown,grey,streetwear,polo,trousers,sandals,slim,hot,date,none,0
white,black,beige,casual,polo,chinos,sandals,slim,hot,university,long_coat,-2
black,black,beige,minimal,tee,shorts,sneakers,regular,cold,date,long_coat,1
black,navy,white,streetwear,polo,chinos,boots,regular,mild,university,coat,0
black,black,brown,streetwear,henley,chinos,loafers,slim,cold,party,jacket,1
brown,black,navy,formal,dress_shirt,chinos,boots,oversized,hot,party,none,2
beige,black,navy,minimal,dress_shirt,trousers,boots,regular,cold,university,jacket,0
black,grey,beige,casual,dress_shirt,chinos,boots,slim,hot,business,none,0
brown,beige,white,formal,polo,shorts,boots,slim,cold,party,jacket,1
beige,black,grey,streetwear,oxford,chinos,sandals,relaxed,mild,business,long_coat,0
black,grey,navy,minimal,dress_shirt,trousers,boots,relaxed,hot,party,coat,-2
brown,navy,brown,casual,polo,chinos,loafers,regular,mild,business,jacket,0
navy,beige,brown,formal,oxford,jeans,boots,oversized,mild,business,coat,0
brown,brown,navy,formal,oxford,jeans,sandals,regular,hot,business,none,2
navy,beige,black,casual,oxford,trousers,sneakers,oversized,cold,date,coat,0
navy,white,grey,streetwear,polo,shorts,loafers,slim,mild,business,none,0
black,white,brown,formal,oxford,trousers,boots,slim,mild,university,coat,0
white,beige,brown,formal,henley,chinos,boots,regular,cold,date,coat,0
grey,white,brown,old_money,henley,trousers,sandals,regular,mild,party,coat,2
grey,navy,beige,old_money,dress_shirt,chinos,sandals,relaxed,mild,date,jacket,2
beige,brown,brown,casual,oxford,shorts,boots,regular,hot,business,none,0
grey,beige,grey,streetwear,dress_shirt,chinos,loafers,regular,cold,business,jacket,0
black,navy,navy,old_money,henley,trousers,boots,relaxed,cold,business,long_coat,2
beige,grey,white,old_money,henley,trousers,sandals,slim,mild,business,coat,0
grey,black,navy,casual,polo,chinos,sandals,slim,mild,university,coat,0
beige,beige,brown,streetwear,henley,jeans,sneakers,relaxed,cold,party,none,-1
grey,beige,white,formal,polo,trousers,loafers,regular,mild,university,jacket,0
grey,white,grey,formal,henley,shorts,loafers,oversized,cold,business,coat,0
black,navy,white,streetwear,dress_shirt,trousers,boots,oversized,mild,party,jacket,0
grey,grey,navy,casual,polo,trousers,sandals,oversized,cold,date,none,-3
navy,beige,grey,minimal,polo,trousers,boots,relaxed,cold,business,none,-2
white,black,black,casual,oxford,shorts,sandals,oversized,hot,business,coat,-2
beige,beige,black,streetwear,dress_shirt,chinos,loafers,oversized,mild,party,long_coat,1
navy,beige,navy,minimal,polo,chinos,sandals,slim,mild,business,none,0
navy,black,brown,casual,dress_shirt,shorts,loafers,slim,hot,university,long_coat,-2
navy,white,black,casual,henley,trousers,loafers,oversized,cold,party,jacket,0
beige,white,beige,minimal,tee,trousers,sneakers,slim,hot,business,coat,-2
navy,black,brown,formal,tee,trousers,boots,slim,cold,party,coat,1
grey,white,brown,minimal,henley,jeans,loafers,regular,hot,university,coat,-2
brown,beige,black,streetwear,oxford,trousers,sneakers,regular,cold,date,jacket,0
black,brown,black,casual,tee,shorts,boots,regular,mild,party,long_coat,0
brown,black,white,casual,polo,jeans,loafers,regular,hot,date,jacket,-2
white,white,brown,formal,oxford,trousers,loafers,oversized,mild,university,none,1
white,grey,brown,minimal,polo,jeans,sandals,slim,cold,party,coat,-2
black,navy,navy,formal,polo,chinos,loafers,regular,mild,party,coat,2
brown,beige,brown,formal,tee,chinos,sneakers,slim,hot,university,jacket,-2
brown,beige,beige,formal,oxford,shorts,sandals,relaxed,mild,university,long_coat,0
brown,white,grey,old_money,henley,chinos,boots,slim,cold,date,none,-2
grey,brown,grey,formal,henley,jeans,sandals,regular,cold,party,long_coat,-1
black,black,white,casual,oxford,chinos,loafers,relaxed,hot,party,jacket,-1
white,black,navy,minimal,oxford,chinos,boots,slim,cold,date,long_coat,0
brown,grey,brown,minimal,oxford,jeans,sneakers,oversized,cold,date,long_coat,0
grey,beige,white,old_money,henley,trousers,loafers,oversized,cold,university,jacket,0
black,white,navy,old_money,dress_shirt,trousers,sneakers,slim,hot,date,jacket,0
brown,black,navy,old_money,polo,shorts,boots,relaxed,mild,university,long_coat,2
navy,black,brown,minimal,oxford,shorts,sneakers,oversized,hot,university,long_coat,-2
beige,navy,beige,casual,tee,trousers,boots,slim,mild,business,coat,-1
beige,navy,black,casual,polo,jeans,boots,regular,mild,party,long_coat,0
white,grey,brown,old_money,dress_shirt,shorts,boots,regular,cold,date,none,0
grey,brown,black,casual,dress_shirt,shorts,boots,oversized,mild,business,long_coat,0
grey,beige,navy,formal,dress_shirt,chinos,sandals,regular,cold,date,none,-3
white,black,navy,minimal,henley,shorts,sneakers,relaxed,hot,date,coat,-2
grey,grey,navy,streetwear,oxford,chinos,sandals,slim,hot,university,none,1
black,navy,grey,minimal,oxford,shorts,boots,slim,hot,business,jacket,-2
black,grey,grey,streetwear,dress_shirt,shorts,boots,oversized,mild,party,long_coat,0
grey,grey,black,minimal,polo,jeans,sneakers,regular,mild,university,none,1
black,white,navy,old_money,tee,chinos,boots,slim,cold,business,long_coat,2
white,navy,black,streetwear,dress_shirt,jeans,sandals,regular,hot,party,jacket,-2
beige,brown,beige,streetwear,tee,shorts,sandals,relaxed,hot,business,jacket,-2
black,beige,brown,casual,dress_shirt,shorts,loafers,slim,hot,university,long_coat,-2
grey,grey,black,casual,polo,chinos,sneakers,regular,cold,business,long_coat,1
navy,brown,navy,casual,dress_shirt,jeans,sandals,slim,cold,party,long_coat,-2
black,grey,white,minimal,tee,shorts,sandals,oversized,mild,university,jacket,0
grey,beige,navy,streetwear,polo,jeans,sandals,slim,cold,date,long_coat,-2
black,white,black,casual,tee,chinos,loafers,relaxed,cold,date,none,-2
grey,grey,brown,streetwear,oxford,shorts,sandals,relaxed,cold,university,jacket,-1
beige,beige,white,casual,oxford,chinos,loafers,oversized,hot,university,coat,-1
grey,beige,navy,formal,oxford,trousers,boots,oversized,hot,party,jacket,0
beige,brown,brown,formal,henley,shorts,sneakers,slim,mild,university,coat,0
white,beige,beige,old_money,polo,jeans,sneakers,relaxed,hot,business,long_coat,0
black,navy,navy,streetwear,dress_shirt,trousers,loafers,regular,cold,business,coat,0
black,black,grey,minimal,dress_shirt,chinos,boots,slim,mild,university,long_coat,1
beige,navy,white,streetwear,polo,shorts,sneakers,slim,cold,party,coat,0
black,white,white,streetwear,oxford,shorts,sandals,oversized,hot,party,none,0
grey,beige,black,formal,oxford,trousers,sandals,regular,cold,university,coat,-2
white,beige,black,formal,oxford,jeans,sneakers,relaxed,mild,date,long_coat,0
white,brown,navy,casual,dress_shirt,shorts,sandals,slim,cold,university,jacket,-2
